Url,Title,MRP,Price,FromPrice,Qty,Shipping1,Shipping2,Shipping3,Size1,Size2,Size3,Size4,Size5,Size6,Size7,Size8,Size9,Color1,Color2,Color3,Color4,Color5,Color6,Color7,Seller,Promo,Description,Highlight1,Highlight2,Highlight3,Highlight4,Highlight5,Highlight6,Highlight7,Highlight8,Highlight9,Highlight10,Highlight11,Highlight12,Highlight13,Highlight14,Highlight15,Highlight16,Highlight17,Highlight18,Highlight19,Highlight20,Highlight21,Highlight22,Highlight23,Highlight24,Highlight25,Image0,Image1,Image2,Image3,Image4,Image5,Category1,Category2,Category3,Category4,Category5,Bag Size, Domestic Warranty, Model Name, Pack of
"https://www.flipkart.com/edel-sling-bag/p/itmese4hsfcd7vcp?pid=HMBESE4HHZJZSNVM&srno=s_1_1&otracker=search&lid=LSTHMBESE4HHZJZSNVMHZYXFV&iid=556ecaef-53d2-4152-b2f7-fa7f044d9c35.HMBESE4HHZJZSNVM.SEARCH&qH=1038def6221874fb","Edel Sling Bag  (Orange)","₹999","₹299","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","","For Girls","Material: Leatherette","Casual, Evening/Party, Travel, Festive Bag","Casual, Evening/Party, Travel, Festive Bag","Width x Height : 5 cm x 23 cm","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","https://rukminim1.flixcart.com/image/704/704/j16qm4w0/sling-bag/p/m/f/bottom-bottom-orange-i-sling-bag-modo-caldo-original-imaes6hbpu35afky.jpeg?q=70","https://rukminim1.flixcart.com/image/720/720/j16qm4w0/sling-bag/p/m/f/bottom-bottom-orange-i-sling-bag-modo-caldo-original-imaes6hbpu35afky.jpeg","https://rukminim1.flixcart.com/image/720/720/j16qm4w0/sling-bag/p/m/f/bottom-bottom-orange-i-sling-bag-modo-caldo-original-imaes6hcbdu5fned.jpeg","https://rukminim1.flixcart.com/image/720/720/j16qm4w0/sling-bag/p/m/f/bottom-bottom-orange-i-sling-bag-modo-caldo-original-imaes6hcgeavkszy.jpeg","https://rukminim1.flixcart.com/image/720/720/j16qm4w0/sling-bag/p/m/f/bottom-bottom-orange-i-sling-bag-modo-caldo-original-imaes6hfyzrrpggw.jpeg","https://rukminim1.flixcart.com/image/720/720/j16qm4w0/sling-bag/p/m/f/bottom-bottom-orange-i-sling-bag-modo-caldo-original-imaes6hfy9jmdzgj.jpeg","Bags, Wallets & Belts","Edel Bags, Wallets & Belts","Edel Sling Bag (Orange)","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound",
"https://www.flipkart.com/edel-sling-bag/p/itmefd6ygw4ejrt4?pid=HMBEFD6YWBEUQHJS&srno=s_1_2&otracker=search&lid=LSTHMBEFD6YWBEUQHJSEXPTQI&iid=95ca0754-9337-4300-8093-26202d0181db.HMBEFD6YWBEUQHJS.SEARCH&qH=1038def6221874fb","Edel Sling Bag  (Black)","₹1,499","₹749","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","EDELFASHIONS","Bank OfferExtra 5% off* on Axis Bank Buzz Credit CardsT&C","This black Cutwork sling is best for party or your day out with friends. It has cut work design done one upper sheet which gives it a symbol of status and elegance. A very light weight yet very spacious, is a classic and versatile handbag,a perfect accessory for any outfit, spacious and economically priced at the same time made from Quality faux leather , will bring the best charm to your outfit.","For Women","Material: Artificial Leather","Evening/Party Bag","Evening/Party Bag","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","https://rukminim1.flixcart.com/image/704/704/hand-messenger-bag/h/j/s/1705-edel-sling-bag-edel-black-party-sling-original-imaefcx4nrud745g.jpeg?q=70","https://rukminim1.flixcart.com/image/720/720/hand-messenger-bag/h/j/s/1705-edel-sling-bag-edel-black-party-sling-original-imaefcx4nrud745g.jpeg","https://rukminim1.flixcart.com/image/720/720/hand-messenger-bag/u/9/m/cutwork-edel-sling-bag-cutwork-original-imaefcx4kmhm7q7h.jpeg","https://rukminim1.flixcart.com/image/720/720/hand-messenger-bag/u/9/m/cutwork-edel-sling-bag-cutwork-original-imaefcx5us7adzhe.jpeg","https://rukminim1.flixcart.com/image/720/720/hand-messenger-bag/u/9/m/cutwork-cutwork-sling-bag-edel-original-imaefcx6rf7ge7bg.jpeg","https://rukminim1.flixcart.com/image/720/720/hand-messenger-bag/u/9/m/cutwork-edel-sling-bag-cutwork-original-imaefcx7tdvbhufv.jpeg","Bags, Wallets & Belts","Handbags & Clutches","Sling Bags","Edel Sling Bags","Edel Sling Bag (Black)","Medium","1 Year","Edel black party sling","1",
"https://www.flipkart.com/edel-sling-bag/p/itmes7hxytg7gzyd?pid=HMBES7HXFG76ZZWV&srno=s_1_3&otracker=search&lid=LSTHMBES7HXFG76ZZWVUM291R&iid=3a4fa20a-fc43-4f81-8a63-77698e9e68bb.HMBES7HXFG76ZZWV.SEARCH&qH=1038def6221874fb","Edel Sling Bag  (Pink)","₹1,299","₹325","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","MADASH","Bank OfferExtra 5% off* on Axis Bank Buzz Credit CardsT&C","NotFound","For Girls","Material: Leatherette","Casual, Evening/Party, Travel, Festive Bag","Casual, Evening/Party, Travel, Festive Bag","Width x Height : 7 cm x 17 cm","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","https://rukminim1.flixcart.com/image/704/704/j1861zk0/hand-messenger-bag/u/v/2/peacock-multicolor-i-31-peacock-sling-bag-modo-caldo-original-imaes6kwbdepkjfm.jpeg?q=70","https://rukminim1.flixcart.com/image/720/720/j1861zk0/hand-messenger-bag/u/v/2/peacock-multicolor-i-31-peacock-sling-bag-modo-caldo-original-imaes6kwbdepkjfm.jpeg","https://rukminim1.flixcart.com/image/720/720/j1861zk0/hand-messenger-bag/u/v/2/peacock-multicolor-i-31-peacock-sling-bag-modo-caldo-original-imaes6kxgtskesgp.jpeg","https://rukminim1.flixcart.com/image/720/720/j1861zk0/hand-messenger-bag/u/v/2/peacock-multicolor-i-31-peacock-sling-bag-modo-caldo-original-imaes6kyazvkghq5.jpeg","https://rukminim1.flixcart.com/image/720/720/j1861zk0/hand-messenger-bag/u/v/2/peacock-multicolor-i-31-peacock-sling-bag-modo-caldo-original-imaes6kyyyzb2gmx.jpeg","https://rukminim1.flixcart.com/image/720/720/j1861zk0/hand-messenger-bag/u/v/2/peacock-multicolor-i-31-peacock-sling-bag-modo-caldo-original-imaes6kzwhhsrzsy.jpeg","Bags, Wallets & Belts","Edel Bags, Wallets & Belts","Edel Sling Bag (Pink)","NotFound","NotFound","NotFound","NotFound","peacock-peach","NotFound",
"https://www.flipkart.com/edel-sling-bag/p/itmes7hx6ycffbee?pid=HMBES7HZ2EW5GVZS&srno=s_1_4&otracker=search&lid=LSTHMBES7HZ2EW5GVZSENYWFA&iid=94d894d7-01cc-406d-a734-1c8bea01843f.HMBES7HZ2EW5GVZS.SEARCH&qH=1038def6221874fb","Edel Sling Bag  (Beige)","₹1,299","₹329","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","MADASH","Bank OfferExtra 5% off* on Axis Bank Buzz Credit CardsT&C","NotFound","For Girls","Material: Leatherette","Casual, Formal, Festive, Travel Bag","Casual, Formal, Festive, Travel Bag","Width x Height : 7 cm x 17 cm","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","NotFound","https://rukminim1.flixcart.com/image/704/704/j16qm4w0/sling-bag/2/3/v/peacock-peacock-beige-i-sling-bag-modo-caldo-original-imaes6h5cjhseg4r.jpeg?q=70","https://rukminim1.flixcart.com/image/720/720/j16qm4w0/sling-bag/2/3/v/peacock-peacock-beige-i-sling-bag-modo-caldo-original-imaes6h5cjhseg4r.jpeg","https://rukminim1.flixcart.com/image/720/720/j16qm4w0/sling-bag/2/3/v/peacock-peacock-beige-i-sling-bag-modo-caldo-original-imaes6h6dbefxw96.jpeg","https://rukminim1.flixcart.com/image/720/720/j16qm4w0/sling-bag/2/3/v/peacock-peacock-beige-i-sling-bag-modo-caldo-original-imaes6h6b6mb5hhp.jpeg","https://rukminim1.flixcart.com/image/720/720/j16qm4w0/sling-bag/2/3/v/peacock-peacock-beige-i-sling-bag-modo-caldo-original-imaes6h7cfkvuxg8.jpeg","https://rukminim1.flixcart.com/image/720/720/j16qm4w0/sling-bag/2/3/v/peacock-peacock-beige-i-sling-bag-modo-caldo-original-imaes6h75fqpdffg.jpeg","Bags, Wallets & Belts","Edel Bags, Wallets & Belts","Edel Sling Bag (Beige)","NotFound","NotFound","NotFound","NotFound","peacock-beige","NotFound",
