Car & Bike Accessories,http://www.desibaniya.com/image/cache/data/demo/shopclues/combo-monster-tank-pad-n-gl-156x156.jpg,"Combo Of Monster Tank Pad And Monster Black Gloves","Combo Of Monster Tank Pad And Monster Black Gloves 1. Monster Bike Gloves - Full Finger Gloves - Heat And Tear Resistant - Added knuckle &amp; finger joint protection lined with riding plastics &amp; rubber &amp; styled with grey lining. - Close fitting for your hands - Machine washable fast-dry design - Sure-grip neoprene palm pads for improved shock absor..","Rs.290"
Car & Bike Accessories,http://www.desibaniya.com/image/cache/data/combo%20of%20dent%20king%20n%20bike%20panchar%20kit22-156x156.jpg,"Combo of Pop-a-Dent (Car Dent Removal Kit) + Car/Bike Tyre Puncture Kit","Combo of Pop-a-Dent (Car Dent Removal Kit) + Car/Bike Tyre Puncture Kit Pop-a-Dent (Car Dent Removal Dent King) Specifications Pops-a-dent patent pending dent puller 2 Dent removal stems for different size dents Professional glue gun pops a dent removal ding king Product Description Description: Pops-a-dent patent pending dent puller 2 Dent removal stems for different size dents Pro..","Rs.499"
Car & Bike Accessories,http://www.desibaniya.com/image/cache/data/probiker%20balaclava%20bike%20loak-156x156.jpg,"Combo of Pro-Biker Gloves & Balaclava Mask with Multi-Purpose Cable Number Lock","Combo of Pro-Biker Gloves & Balaclava Mask with Multi-Purpose Cable Number Lock   Red Combo Pro-Biker Gloves + Balaclava   *BALACLAVA HEADWEAR *TYPE: 1 HOLE *UNIVERSAL SIZE *EXPORT GRADE COTTON + SPANDEX LYCRA EZ-STRETCH FABRIC *LITE WEIGHT + FULLY BREATHING *KEEPS OUT DIRT/DUST/INSECTS *ABSORBS SWEAT AND MOISTURE *EASY TO WASH *EASY..","Rs.599"
Car & Bike Accessories,http://www.desibaniya.com/image/cache/data/Scratch-Remover-Pen%20combo22-156x156.jpg,"Combo of Scratch out Pen for Car/Bike Scratch Remove","Combo of Scratch out Pen for Car/Bike Scratch Remove   High quality Sealed Pack Why We Need Scratch Remover pen Odorless Permanent Non-toxic Water resistant  Works on all colors The Fastest Scratch Remover Clear coat scratch repair filler and sealer It can also be used in other steel products like cycles, motorcycles,almirah, chairs etc Clea..","Rs.249"
Car & Bike Accessories,http://www.desibaniya.com/image/cache/data/combobn61212375_1356937880-156x156.jpg,"Combo Polo + Riding Jacket + Gloves + Kneegard","BIKING ELBOW & KNEE GUARD- SET OF 4 PCS-FOX RIDING GEAR ·  Elbow And Knee/Shin Guards ·  High impact foam padding for superior quality & comfort ·  Adjustable eladtic straps for secure fit ·  Elbow & Knee Guard set by FOX ·  Set of 2 Knew guard and 2 Elbow guard ·  Size - Adult FOX Armor Sports Armor Body Protection Safety Jack..","Rs.2,099"
Car & Bike Accessories,http://www.desibaniya.com/image/cache/data/comboav_51212_800_2_2_1-156x156.jpg,"Combo Polo Sunglass + Riding Jacket","Combo Polo Sunglass + Riding Jacket Item Description Feature Sunglasses: 100% UV Protected. Stylish Frame. Comfort Fit. Sunglasses in the most favoured style Must wear to keep the eyes protected from the harsh summer sun These sunglasses come in a Polo carrying case that keeps them safe. FOX Armor Sports Armor Body Protection Safety Jacket NEW  Material: 35..","Rs.1,325"
Car & Bike Accessories,http://www.desibaniya.com/image/cache/data/combob_51212_800_2_1-156x156.jpg,"Combo Pro-Biker Gloves + Balaclava","Combo Pro-Biker Gloves + Balaclava *BALACLAVA HEADWEAR *TYPE: 1 HOLE *UNIVERSAL SIZE *EXPORT GRADE COTTON + SPANDEX LYCRA EZ-STRETCH FABRIC *LITE WEIGHT + FULLY BREATHING *KEEPS OUT DIRT/DUST/INSECTS *ABSORBS SWEAT AND MOISTURE *EASY TO WASH *EASY TO CARRY *COLOUR: BLACK ONLY *Brand - Probiker *Full Finger Gloves *Black Color *Heat And Tear Resistant ..","Rs.549"
Car & Bike Accessories,http://www.desibaniya.com/image/cache/data/combot_61212_800_2-156x156.jpg,"Complete Bike Kit with FREE Tank Pad","Complete Bike Kit with FREE Tank Pad 1 *Durable material design.         *Full finger gloves         *Heat and Tear Resistant.         *Water, Dirt and Oil Repellent.         *Black Color 2.Bike Body Cover *100% Brand New  *High Quality Fabric. *Water-resistant. *All Weather ..","Rs.625"
Car & Bike Accessories,http://www.desibaniya.com/image/cache/data/combojactg_141112_800_2-156x156.jpg,"Fox Riding Jacket & Pro-Biker Gloves Combo","Fox Riding Jacket & Pro-Biker Gloves Combo Offer 1- Pro-Biker Motorcycle Riding Gloves *Brand - Probiker *Full Finger Gloves *Black Color *Heat And Tear Resistant *Added knuckle & finger joint protection lined with riding plastics & rubber & styled with grey lining. *Size : XL 2-Fox Riding Jacket cum Body Armour FOX Armor Sports Armor Bod..","Rs.1,300"
Car & Bike Accessories,http://www.desibaniya.com/image/cache/data/riderjacet-156x156.jpg,"Fox Riding Jacket cum Body Armour"," DESCRIPTION  FOX Armor Sports Armor Body Protection Safety Jacket NEW  Material: 35% nylon, 30% polyester, 20% EVA, 10% plastic, 5% spandex   Full zipper front closure.   Adjustable straps throughout the arms and shoulders.   Removeable spine armor.   Wide elastic waist belt with velcro adjustment.   Durable stratchable lycra/m..","Rs.1,299"
Car & Bike Accessories,http://www.desibaniya.com/image/cache/data/glufsha-156x156.jpg,"Half Riding gloves AlpineStar","DESCRIPTION *Brand - Probiker *Half Finger Gloves *Black Color *Heat And Tear Resistant *Added knuckle & finger joint protection lined with riding plastics & rubber & styled with grey lining. *Size : XL *1 Pair in Black Color as shown in Picture ..","Rs.350"
Car & Bike Accessories,http://www.desibaniya.com/image/cache/data/cable%20lock-156x156.jpg,"Heavy Duty Multi-Purpose Cable Number Lock High Quality","Heavy Duty Multi-Purpose Cable Number Lock High Quality FEATURES : Heavy duty chain not easy to cut and break Chain covered with plastic pipe cover to avoid and damage to object locked(like any scratches) Can be used in locking you Bike/cycle and best in travelling to avoid any theft Multi-utility chain with heavy duty lock No combination lock of 4 Nos. for best security..","Rs.140"
