SKU,Name,Seller,Category,AttributeSet,Res1,Res2,Res3,MoonBoy_MRP,MoonBoy_Price,MoonBoy_Shipping,MoonBoy_Seller,MoonBoy_Promo,PayTM_MRP,PayTM_Price,PayTM_Shipping,PayTM_Seller,PayTM_Promo,ShopClues_MRP,ShopClues_Price,ShopClues_Shipping,ShopClues_Seller,ShopClues_Promo
BZCG-650-PD03-8GB1,Ambrane Power Bank P-1333 13000mAh, B.J.Infotech,Cat1,Attr1,,,,"2499","1113","Shipping fee  Rs.  60","B.J.Infotech","NA","Rs 2499","Buy For Rs 1099","NA","B J INFOTECH","PB15: Free Movie Ticket* and FLAT 15% cashback* on shopping order (Max Cashback Rs. 600). Your unique movie ticket promo code will be sent to you via email. COD not applicable.","Rs.2,499","Rs.1,099","NA","B J INFOTECH","State Bank Debit & Credit Cards :- 5% instant discount upto Rs.1500 T&C"
BZCG-650-PD03-8GB2,Bohemia crystal Sandra hi ball glass (380ml) set of 6 pcs, Smartserve Houseware Pvt Ltd,Cat2,Attr2,,,,"2299","1839","(Shipping charges free)","Smartserve Houseware Pvt Ltd","NA","Rs 2299","Buy For Rs 1954","NA","SmartServe","NA","Rs.2,299","Rs.1,839","Free Shipping","SMARTSERVE HOUSEWARE","State Bank Debit & Credit Cards :- 5% instant discount upto Rs.1500 T&C"
BZCG-650-PD03-8GB3,Plumeria V Salad Bowl With Coner Handles-MED,Blur Flame,Cat3,,,,,"4700","1975","(Shipping charges free)","Blue Flame","NA"
,WOAKERS Men's Elara Lace Up IDP Navy Blue Synthetic Leather Sneakers,sheela Enterprises,Cat4,Attr4,,,,"1299","699","(Shipping charges free)","SHEELA ENTERPRISES","NA","Rs 1299","Buy For Rs 289","NA","SHEELA ENTERPRISES","NA"
BZCG-650-PD03-8GB5,Good Life Stuff Genuine Leather Wallet for Men in Black,,Cat5,Attr5,,,,"1499","599","(Shipping charges free)","GOOD LIFE STUFF","NA"
BZCG-650-PD03-8GB6,Kataria Jewellers The Terceira Silver Swarovski Bis Hallmarked Earrings,Kataria Jewellers ,Cat6,Attr6,,,,"8999","4499","(Shipping charges free)","KATARIA JEWELLERS","NA"
,KDM Sports Football,KDM Sports Pvt Ltd,,Attr7,,,,"699","349","(Shipping charges free)","KDM SPORTS PVT LTD","NA","Rs 699","Buy For Rs 349","NA","KDM sports Pvt Ltd","Use promocode SPO15 to get 15% cashback* on minimum order value of Rs.99. (Maximum cashback Rs 10,000). COD will not be available on applying this promocode.","NA","NA","NA","NA","NA"
BZCG-650-PD03-8GB7,,Kataria Jewellers ,Cat7,Attr7,,,,"8999","4499","(Shipping charges free)","KATARIA JEWELLERS","NA"
