Product Id,SKU,Product Name,Category,Image URL,Product Status,
652132,PMIS-650-PD56-8GB,Fifa Football 2014 Mascot Shape Designer Fancy Pen drive,"Mobiles,Tablets & Accessories >> Mobile Accessories >> Pen Drives",https://www.moonboy.in/images/product_img/original_nkfmerhjxzw4apl.jpg,Active,
652131,IPRO-650-PD48-8GB,Fish Neno Shape Fancy Pen Drive,"Mobiles,Tablets & Accessories >> Mobile Accessories >> Pen Drives",https://www.moonboy.in/images/product_img/original_u3ie56g2ctmncqr.jpg,Active,
652130,PBFZ-650-PD49-8GB,Fish Shape metal Fancy Pen Drive,"Mobiles,Tablets & Accessories >> Mobile Accessories >> Pen Drives",https://www.moonboy.in/images/product_img/original_pekvhywtuistwjr.jpg,Active,
652129,VESF-650-PD50-8GB,Fish Shark Shape Fancy Pen Drive,"Mobiles,Tablets & Accessories >> Mobile Accessories >> Pen Drives",https://www.moonboy.in/images/product_img/original_yj5qnsdt4i9hzbv.jpg,Active,
652128,QSCO-650-PD51-8GB,Football Jersey Shape Fancy Pen Drive,"Mobiles,Tablets & Accessories >> Mobile Accessories >> Pen Drives",https://www.moonboy.in/images/product_img/original_rjby8tnxoapotvi.jpg,Active,
652127,ZBPY-650-PD52-8GB,Golden Biscuit Shape Fancy Pen Drive,"Mobiles,Tablets & Accessories >> Mobile Accessories >> Pen Drives",https://www.moonboy.in/images/product_img/original_8dvnajtvyaeigzb.jpg,Active,
652126,TBES-650-PD54-8GB,Golden Guitar Metal Fancy Pen Drive,"Mobiles,Tablets & Accessories >> Mobile Accessories >> Pen Drives",https://www.moonboy.in/images/product_img/original_ummvalb6tsajowp.jpg,Active,
652125,FYJR-650-PD58-8GB,Gun Golden Metal Shape Fancy Pendrive,"Mobiles,Tablets & Accessories >> Mobile Accessories >> Pen Drives",https://www.moonboy.in/images/product_img/original_mqszbw6ewidkya3.jpg,Active,
652124,MVAR-650-PD60-8GB,Hand V Shape Fancy Pen Drive,"Mobiles,Tablets & Accessories >> Mobile Accessories >> Pen Drives",https://www.moonboy.in/images/product_img/original_4g6ncoxhi5v3wvl.jpg,Active,
652123,QDZW-650-PD61-8GB,Heart Blue Shape Fancy Pen Drive,"Mobiles,Tablets & Accessories >> Mobile Accessories >> Pen Drives",https://www.moonboy.in/images/product_img/original_ffsclurdsipnar0.jpg,Active,
