Url,Title,MRP,Price,Shipping,Seller,Promo,Description,Highlight1,Highlight2,Highlight3,Highlight4,Highlight5,Image1,Image2,Image3,Image4,Image5,Category1,Category2,Category3,Category4,Category5,Brand, Color Family, Duration, Fabric, Ideal For, Length, Lifestyle, Model ID, Neckline, Occasion, Part Number, Prints & Patterns, Quantity Range, Quantity in, Sleeve Length, Style, Type, Warranty Available, Wash Care
"http://www.shopclues.com/envy-me-printed-slant-shirt-em15-014-1.html","ENVY ME PRINTED SLANT SHIRT EM15-014","Rs.1,899","Rs.429","Shipping: Rs. 40","STUDIO ENVY ME LLP","10% SuperCash on Mobikwik | Max Cashback Rs.200 T&C","","Ideal For : Women","Occasion : Casual","Prints & Patterns : Printed","More Specification","NA","http://cdn.shopclues.com/images/detailed/24803/EM15014_1442315609.jpg","http://cdn.shopclues.com/images/detailed/24803/EM150144_1442315893.jpg","http://cdn.shopclues.com/images/detailed/24803/EM150141_1442315737.jpg","NA","NA","Fashion","Women's Clothing","Western Wear","Tops,Tees,Tunics&Shirts","NA","Envy","Blue","NA","NA","Women","NA","NA","NA","Shirt Collar","Casual","NA","Printed","NA","NA","Full Sleeves","NA","Casual Shirts","NA","Hand Wash",
"http://www.shopclues.com/envy-1000-magic-crystal-deo-135-ml.html","Envy 1000 Magic Crystal Deo 135 Ml","NA","Rs.199","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Deodorants","NA","NA","Envy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"http://www.shopclues.com/envy-1000-noir-deo-130-ml.html","Envy 1000 Noir Deo 130 Ml","NA","Rs.195","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Deodorants","NA","NA","Envy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"http://www.shopclues.com/envy-1000-wink-deo-130-ml.html","Envy 1000 Wink Deo 130 Ml","Rs.199","Rs.195","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Deodorants","NA","NA","Envy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"http://www.shopclues.com/envy-rock-deo-130-ml.html","Envy Rock Deo 130 Ml","NA","Rs.250","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Perfumes","NA","NA","Envy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"http://www.shopclues.com/envy-1000-fiery-nitro-deo-combo-pack-of-2.html","ENVY 1000 Fiery Nitro Deo Combo (Pack of 2)","NA","Rs.390","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Deodorants","NA","NA","Envy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"http://www.shopclues.com/envy-1000-deo-for-men-130ml-99.html","Envy 1000 Deo For Men - 130Ml","Rs.195","Rs.159/Pc","NA","LIFESTYLE CORPORATION","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Deodorants","NA","NA","Envy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"http://www.shopclues.com/envy-me-ny-floral-border-print-shirt.html","Envy Me NY FLORAL BORDER PRINT SHIRT","Rs.1,899","Rs.429","Shipping: Rs. 40","STUDIO ENVY ME LLP","10% SuperCash on Mobikwik | Max Cashback Rs.200 T&C","","Ideal For : Women","Occasion : Casual","Prints & Patterns : Printed","More Specification","NA","http://cdn.shopclues.com/images/detailed/20542/EM15002_1435221489.jpg","http://cdn.shopclues.com/images/detailed/20542/EM150023_1435221507.jpg","http://cdn.shopclues.com/images/detailed/20542/EM150022_1435221501.jpg","NA","NA","Fashion","Women's Clothing","Western Wear","Tops,Tees,Tunics&Shirts","NA","Envy","Cream, Red, Blue, Purple","NA","Georgette","Women","NA","NA","EM15-002","Shirt Collar","Casual","EM15-002","Printed","NA","NA","Full Sleeves","NA","Regular Shirts","NA","Hand Wash",
"http://www.shopclues.com/envy-1000-nitro-noir-deo-combo-pack-of-2.html","ENVY 1000 Nitro Noir Deo Combo (Pack of 2)","Rs.398","Rs.370","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Deodorants","NA","NA","Envy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"http://www.shopclues.com/envy-me-print--solid-shirt-em15-046.html","Envy me print + solid shirt EM15-046","Rs.1,799","Rs.529","Shipping: Rs. 50","STUDIO ENVY ME LLP","10% SuperCash on Mobikwik | Max Cashback Rs.200 T&C","","Ideal For : Women","Occasion : Casual","Prints & Patterns : Printed","More Specification","NA","http://cdn.shopclues.com/images/detailed/22121/EM15046_1436956976.jpg","http://cdn.shopclues.com/images/detailed/22122/EM150464_1436957042.jpg","http://cdn.shopclues.com/images/detailed/22122/EM150463_1436957022.jpg","http://cdn.shopclues.com/images/detailed/22121/EM150462_1436956999.jpg","NA","Fashion","Women's Clothing","Western Wear","Tops,Tees,Tunics&Shirts","NA","Envy","Black, Gold, Brown","NA","Georgette","Women","NA","NA","EM15-046","Shirt Collar","Casual","NA","Printed","NA","NA","Full Sleeves","NA","Casual Shirts","NA","Hand Wash",
"http://www.shopclues.com/envy-1000-blush-wink-deo-combo-pack-of-2.html","ENVY 1000 Blush Wink Deo Combo (Pack of 2)","Rs.398","Rs.390","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Deodorants","NA","NA","Envy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"http://www.shopclues.com/envy-1000-nitro-rush-noir-deo-combo-pack-of-3.html","ENVY 1000 Nitro, Rush Noir Deo Combo (Pack of 3)","NA","Rs.585","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Deodorants","NA","NA","Envy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"http://www.shopclues.com/envy-1000-nitro-deo-130-ml.html","Envy 1000 Nitro Deo 130 Ml","NA","Rs.195","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Deodorants","NA","NA","Envy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"http://www.shopclues.com/envy-1000-magic-crystal-deo-135-ml.html","Envy 1000 Magic Crystal Deo 135 Ml","NA","Rs.199","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Deodorants","NA","NA",null
"http://www.shopclues.com/envy-1000-noir-deo-130-ml.html","Envy 1000 Noir Deo 130 Ml","NA","Rs.195","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Deodorants","NA","NA",null
"http://www.shopclues.com/envy-1000-wink-deo-130-ml.html","Envy 1000 Wink Deo 130 Ml","Rs.199","Rs.195","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Deodorants","NA","NA",null
