Url,Title,MRP,Price,Shipping,Seller,Promo,Description,Highlight1,Highlight2,Highlight3,Highlight4,Highlight5,Image1,Image2,Image3,Image4,Image5,Category1,Category2,Category3,Category4,Category5,
"https://paytmmall.com/lenovo-ideapad-300-80q700dwin-core-i5-6th-gen-4-gb-1-tb-39-62-cm-15-6-dos-2-gb-silver-CMPLXLAPLENOVO-IDEAPDUMM202562F534BA7-pdp?src=grid&tracker=curated%7C%7Clenovo%20laptop%7CCategory%20Grid%7C%2Fg%2Felectronics-store%2Flt%7C108996%7C1%7C","LENOVO IP 300 (80Q700DWIN) (Core i5-6th Gen/4 GB RAM/1 TB HDD/39.62 cm (15.6'')/2 GB Graphics/DOS) (Silver)","Rs 50090","Buy for Rs 40700","NA","Riddhi Sales","NA","NA","Processor : Intel Core i5 (6th Generation)","Screen : 39.6 cm (15.6 Full HD)","ROM : 1 TB/RAM :4 GB DDR3","DOS","Graphics Processor : ATI EXO PRO R5 M330","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-IP-30BEST3469147F2C4F5/0x1920/70/0.jpg","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-IP-30BEST3469147F2C4F5/0x1920/70/2.jpg","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-IP-30BEST3469147F2C4F5/0x1920/70/2.jpg","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-IP-30BEST3469147F2C4F5/0x1920/70/3.jpg","NA","Electronics","Laptop & Computers","Laptops","NA","NA",
"https://paytmmall.com/lenovo-g50-80-80e502q3ih-notebook-core-i3-5th-gen-4-gb-1-tb-39-62cm-15-6-dos-2-gb-black-CMPLXLAPLENOVO-G50-8CYBE2125250C57D8A-pdp?src=grid&tracker=curated%7C%7Clenovo%20laptop%7CCategory%20Grid%7C%2Fg%2Felectronics-store%2Flt%7C108996%7C2%7C","Lenovo G50-80 (80E502Q3IH) (Core i3 -5th Gen/4 GB RAM/1 TB HDD/39.62cm (15.6)/2 GB Graphics/ DOS) (Black)","Rs 35190","Buy for Rs 29000","NA","Hot Deals","NA","NA","NA","NA","NA","NA","NA","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-G50-8DIWA3266747684E60/0x1920/70/0.jpg","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-G50-8DIWA3266747684E60/0x1920/70/3.jpg","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-G50-8DIWA3266747684E60/0x1920/70/3.jpg","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-G50-8DIWA3266747684E60/0x1920/70/5.jpg","NA","Electronics","Laptop & Computers","Laptops","NA","NA",
"https://paytmmall.com/lenovo-ideapad-510-80sv001sih-core-i5-7th-gen-8-gb-1-tb-39-6-cm-15-1-windows-10-silver-CMPLXLAPLENOVO-IDEAPELEC586819D16ACF8-pdp?src=grid&tracker=curated%7C%7Clenovo%20laptop%7CCategory%20Grid%7C%2Fg%2Felectronics-store%2Flt%7C108996%7C3%7C","Lenovo IDEAPAD 510 (80SV001SIH) (Core i5 (7th Gen)/8 GB/1 TB/39.6 cm (15.1)/ Windows 10) Silver","Rs 63390","Buy for Rs 61490","NA","KH Online","NA","NA","NA","NA","NA","NA","NA","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-IDEAPKH-O21258951374FC/0x1920/70/8.jpeg","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-IDEAPKH-O21258951374FC/0x1920/70/0.jpg","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-IDEAPKH-O21258951374FC/0x1920/70/0.jpg","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-IDEAPKH-O21258951374FC/0x1920/70/2.jpg","NA","Electronics","Laptop & Computers","Laptops","NA","NA",
"https://paytmmall.com/lenovo-80sm01evih-core-i3-6th-gen-4-gb-39-62-cm-15-6-dos-black-CMPLXLAPLENOVO-80SM0SSD43070C2EFD773-pdp?src=grid&tracker=curated%7C%7Clenovo%20laptop%7CCategory%20Grid%7C%2Fg%2Felectronics-store%2Flt%7C108996%7C4%7C","Lenovo Ideapad 310-15ISK (80SM01EVIH) (Core i3 -6th Gen/4 GB RAM/1 TB HDD/39.62 cm (15.6)/DOS) (Black)","Rs 32890","Buy for Rs 27450","NA","UNIVERSAL","NA","NA","NA","NA","NA","NA","NA","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-IDEAPUNIV222311A432C51/0x1920/70/6.jpg","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-IDEAPUNIV222311A432C51/0x1920/70/8.jpg","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-IDEAPUNIV222311A432C51/0x1920/70/8.jpg","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-IDEAPUNIV222311A432C51/0x1920/70/9.jpg","NA","Electronics","Laptop & Computers","Laptops","NA","NA",
"https://paytmmall.com/lenovo-g50-80-80e503ffih-core-i3-5th-gen-8-gb-1-tb-39-62cm-15-6-windows-10-home-2-gb-black-CMPLXLAPLENOVO-G50-8DEAL2726A20B37A-pdp?src=grid&tracker=curated%7C%7Clenovo%20laptop%7CCategory%20Grid%7C%2Fg%2Felectronics-store%2Flt%7C108996%7C5%7C","Lenovo G50-80 (80E503FFIH) (Core i3 (5th Gen)/8 GB/1 TB/39.62cm (15.6'')/Windows 10 Home/2 GB) (Black)","Rs 41790","Buy for Rs 40183","NA","Big Bazaar","NA","Instruction Set: 64 Bit","Processor: Core i3 (5th Gen)","Screen Size: 39.62 cm (15.6)","ROM/RAM: 1 TB/8 GB DDR3","Windows 10 Home","Graphics Processor: AMD Radeon R5 Series M330","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-G50-8FUTU32339310BA1275/0x1920/70/0.jpg","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-G50-8FUTU32339310BA1275/0x1920/70/2.jpg","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-G50-8FUTU32339310BA1275/0x1920/70/2.jpg","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-G50-8FUTU32339310BA1275/0x1920/70/3.jpg","NA","Electronics","Laptop & Computers","Laptops","NA","NA",
"https://paytmmall.com/lenovo-g50-80-80e5038pin-core-i5-5th-gen-8-gb-ddr3-1-tb-39-6-cm-15-6-windows-10-home-2-gb-graphics-ati-exo-pro-r5-m330-black-CMPLXLAPLENOVO-G50-8DUMM20256912AAF0E-pdp?src=grid&tracker=curated%7C%7Clenovo%20laptop%7CCategory%20Grid%7C%2Fg%2Felectronics-store%2Flt%7C108996%7C6%7C","Lenovo G50-80 (80E5038PIN ) Core i5 (8 GB RAM/1 TB HDD/39.6 cm (15.6)/2 GB Graphics / Win 10) (Black)","Rs 48890","Buy for Rs 45425","NA","dealkyahai-MUM","NA","Your son's first laptop could be this Lenovo laptop. It comes with an HD display, a powerful processor, and big RAM capacity, ensuring that your son has an immersive viewing experience coupled with lag-free and seamless multitasking.","BTC offer : Get Puma Vouchers & Additional Warranty (For details check Offer Section below)","Processor: Core i5 (5th Gen)","RAM: 8 GB","OS: Windows 10","Storage/Memory: 1 TB","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-G50-8DEAL252158363FE4B6/0x1920/70/5.jpeg","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-G50-8DEAL252158363FE4B6/0x1920/70/0.jpeg","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-G50-8DEAL252158363FE4B6/0x1920/70/0.jpeg","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-G50-8DEAL252158363FE4B6/0x1920/70/1.jpeg","NA","Electronics","Laptop & Computers","Laptops","NA","NA",
"https://paytmmall.com/lenovo-ip-110-15isk-80ud014cih-6th-gen-core-i5-6200u-8gb-1tb-dos-2gb-graphics-black-CMPLXLAPLENOVO-IP-11DUMM20256B4C437E4-pdp?src=grid&tracker=curated%7C%7Clenovo%20laptop%7CCategory%20Grid%7C%2Fg%2Felectronics-store%2Flt%7C108996%7C7%7C","Lenovo Ideapad 110-15ISK (80UD014CIH) (Core i5-6th Gen/8GB RAM /1TB HDD/39.6 cm (15.6)/ 2GB Graphics/ DOS ) (Black)","Rs 45290","Buy for Rs 42450","NA","dealkyahai-MUM","NA","NA","Screen Size : 15.6 (39.62 cm)","ROM/RAM : 1 TB/8 GB DDR4","Graphics Processor : 2 GB","OS : DOS","Processor : Core i5 (6th Gen)","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-IP-11DEAL252158173BAF22/0x1920/70/0.jpg","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-IP-11DEAL252158173BAF22/0x1920/70/2.jpg","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-IP-11DEAL252158173BAF22/0x1920/70/2.jpg","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-IP-11DEAL252158173BAF22/0x1920/70/3.jpg","NA","Electronics","Laptop & Computers","Laptops","NA","NA",
"https://paytmmall.com/lenovo-ideapad-110-16isk-80ud00rwih-core-i3-6th-gen-4gb-500gb-15-6-dos-CMPLXLAPLENOVO-IDEAPGADG61076C9AF46F1-pdp?src=grid&tracker=curated%7C%7Clenovo%20laptop%7CCategory%20Grid%7C%2Fg%2Felectronics-store%2Flt%7C108996%7C8%7C","Lenovo Ideapad 110-16ISK (80UD00RWIH) (Core I3-6th Gen/4GB RAM/500GB HDD/15.6/DOS) (Black)","Rs 27790","Buy for Rs 25099","NA","GADGETBESTBUY","NA","NA","NA","NA","NA","NA","NA","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-IDEAPGADG61076C9AF46F1/0x1920/70/0..jpeg","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-IDEAPGADG61076C9AF46F1/0x1920/70/2..jpeg","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-IDEAPGADG61076C9AF46F1/0x1920/70/2..jpeg","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-IDEAPGADG61076C9AF46F1/0x1920/70/3..jpeg","NA","Electronics","Laptop & Computers","Laptops","NA","NA",
"https://paytmmall.com/lenovo-80sm009aih-core-i3-6th-gen-4-gb-ddr4-1-tb-39-62-cm-15-6-dos-integrated-intel-hd-graphics-520-ebony-black-CMPLXLAPLENOVO-80SM0SSD4307041FE76E5-pdp?src=grid&tracker=curated%7C%7Clenovo%20laptop%7CCategory%20Grid%7C%2Fg%2Felectronics-store%2Flt%7C108996%7C9%7C","Lenovo Ip 310 (80SM009AIH) (Core i3 -6th Gen/4 GB RAM/1 TB HDD/39.62 cm (15.6)/DOS) (Black)","Rs 31987","Buy for Rs 28290","NA","NEEL","LAPTOP8: Flat 8% cashback* on shopping order (Max cashback Rs. 15000) and additional Movie ticket Free* . Your unique movie ticket promo code will be sent to you via email. COD not applicable.","Lenovo IDEAPAD 310 (80SM009AIH) (Core i3 (6th Gen)/4 GB DDR4/1 TB/15.6 (39.62 cm)/DOS) (Ebony Black)","Operating System:DOS","Screen Size:39.62 cm (15.6)","HDD Capacity:1 TB","RAM:4 GB DDR4","Processor:Intel Core i3-6100U Processor (3M Cache, 2.30 GHz)","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-80SM0NEEL2149422480284A/0x1920/70/24.png","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-80SM0NEEL2149422480284A/0x1920/70/26.png","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-80SM0NEEL2149422480284A/0x1920/70/26.png","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-80SM0NEEL2149422480284A/0x1920/70/27.png","NA","Electronics","Laptop & Computers","Laptops","NA","NA",
"https://paytmmall.com/lenovo-ideapad-ideapad-310-80tv018wih-core-i5-7th-gen-8-gb-ddr4-1-tb-39-6-cm-15-6-dos-2-gb-silver-CMPLXLAPLENOVO-IDEAPDUMM20256679D33DD-pdp?src=grid&tracker=curated%7C%7Clenovo%20laptop%7CCategory%20Grid%7C%2Fg%2Felectronics-store%2Flt%7C108996%7C10%7C","Lenovo IP 310 (80TV026WIH) (Core i5 -7th Gen/8 GB RAM/1 TB HDD/39.6 cm (15.6)/2 GB Graphics/DOS) (Silver)","Rs 70290","Buy for Rs 46250","NA","NEEL","NA","NA","Screen Size : 39.62 cm (15.6)","RAM : 4 GB","ROM : 1 TB","Processor : Core i5 (7th Gen)","NA","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-IDEAPNEEL2149425B7CFDC3/0x1920/70/21.jpg","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-IDEAPNEEL2149425B7CFDC3/0x1920/70/22.png","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-IDEAPNEEL2149425B7CFDC3/0x1920/70/22.png","https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-IDEAPNEEL2149425B7CFDC3/0x1920/70/23.jpg","NA","Electronics","Laptop & Computers","Laptops","NA","NA",
